Company,Report Date,P/E Ratio,Revenue Change (%),Price Change 7D (%),Price Change 14D (%)
AAPL,2025-01-30,39.21,30.938586326767094,-4.183677764215664,3.46815943431963
MSFT,2025-01-29,32.06,5.904898607378451,-7.365541563990682,-6.230642280650194
GOOGL,2025-02-05,21.84,7.975189306047607,-3.188208853812796,-9.721423718183255
